,ticker,mktcap
1,AAPL,6.08331E+11
2,MSFT,4.74923E+11
3,XOM,3.66578E+11
4,JNJ,3.10015E+11
5,AMZN,3.64167E+11
6,JPM,2.90985E+11
7,GE,2.73887E+11
8,FB,3.45457E+11
9,WFC,2.70727E+11
10,T,2.39081E+11
11,GOOGL,5.41558E+11
12,GOOG,5.41558E+11
13,BAC,2.3233E+11
14,PG,2.32776E+11
15,CVX,2.10106E+11
16,VZ,2.03891E+11
17,PFE,1.97275E+11
18,BRK-B,NA
19,MRK,1.6919E+11
20,CMCSA,-1.23577E+12
21,INTC,1.69281E+11
22,HD,1.59033E+11
23,KO,1.76087E+11
24,C,NA
25,UNH,1.53412E+11
26,CSCO,1.5122E+11
27,V,1.86952E+11
28,PEP,1.45345E+11
29,DIS,1.62458E+11
30,IBM,1.55293E+11
31,PM,1.36869E+11
32,MO,1.24779E+11
33,ORCL,1.69642E+11
34,SLB,1.17754E+11
35,BRK-A,NA
36,AMGN,1.08575E+11
37,MMM,1.038E+11
38,MCD,1.01105E+11
39,MDT,1.02958E+11
40,QCOM,1.02104E+11
41,MA,1.12318E+11
42,ABBV,9.97E+10
43,WMT,2.19671E+11
44,GILD,98704385000
45,BMY,94311240000
46,CELG,94985765000
47,BA,95259312000
48,HON,87015978000
49,UTX,88588928000
50,UNP,84326826000
51,CVS,82502970000
52,SBUX,86191432500
53,USB,85147920000
54,UPS,1.0201E+11
55,GS,94338558000
56,WBA,92732589000
57,AGN,NA
58,ACN,79751803824
59,PCLN,75146408000
60,TXN,75186810000
61,TWX,72308250000
62,NKE,83717040000
63,LLY,71200896000
64,LMT,79177125000
65,COST,66237988930
66,BIIB,64576002000
67,AIG,69815040764
68,DD,nm
69,AVGO,47920335000
70,DOW,62818728000
71,LOW,61660700000
72,MDLZ,64522080000
73,COP,60454027720
74,MS,77715440000
75,CL,58178637000
76,AXP,66492920000
77,CB,NA
78,EOG,56164351760
79,SPG,1.01987E+11
80,ABT,56205253620
81,CHTR,75812996243
82,CAT,56342176000
83,TMO,55679714000
84,OXY,54519040000
85,PNC,54961760000
86,NEE,53231180000
87,ADBE,51923237210
88,DUK,50975070000
89,KHC,99498420000
90,TJX,51839223140
91,DHR,54820621000
92,GM,54350220000
93,MET,60538756011
94,BK,50629480440
95,ESRX,47615703000
96,NFLX,51309048560
97,NVDA,60441680000
98,F,47529040000
99,CRM,49713696000
100,RAI,77215685700
101,SCHW,51572440000
102,AET,45758300000
103,D,45872211000
104,SO,42793480000
105,FDX,50792550000
106,GD,53295528300
107,PYPL,47685920000
108,MON,45921641000
109,NOC,44979024000
110,TGT,44397552000
111,RTN,44144208000
112,PRU,43964874000
113,AMT,43968429750
